,SVM Pre-Tuning,SVM Post-Tuning,LR Pre-Tuning,LR Post-Tuning
Accuracy,0.9510763209393346,0.9334637964774951,0.952054794520548,0.9510763209393346
Precision,0.9045461682515002,0.9098722647215797,0.9543557887110408,0.9045461682515002
Recall,0.9510763209393346,0.9334637964774951,0.952054794520548,0.9510763209393346
F1,0.9272278675557003,0.920998567904567,0.9296116854869023,0.9272278675557003
AUC,0.5779012345679013,0.5804938271604939,0.8424691358024691,0.8420987654320987
